,dialog_act,utterance_content
0,inform,expensive restaurant in the south part of town
1,inform,any
2,request,address
3,request,type of food
4,thankyou,thank you good bye
5,inform,lebanese restaurant in the west part of town
6,inform,lebanese
7,inform,thai food
8,inform,thai food
9,inform,tailand
10,inform,thai food in the west of town
11,request,address
12,request,phone number
13,request,price range
14,request,what is the price range
15,thankyou,thank you good bye
16,null,unintelligible
17,inform,cheap
18,inform,uh dont care but can it be vegetarian food
19,reqalts,what about indian then
20,inform,cheap indian food
21,request,in the cheap price range
22,request,can i have the address
23,thankyou,thank you good bye
24,inform,im looking for an expensive restaurant that serves
25,inform,cantonese food
26,reqalts,okay what about north american food
27,request,can i have the phone number
28,request,can i have the post code
29,thankyou,thank you good bye
30,inform,expensive restaurant it should serve persian food
31,inform,european type of food
32,request,address
33,request,phone number
34,request,area
35,request,area of venue
36,thankyou,thank you good bye
37,inform,restaurant in the east part of town international food
38,request,phone number
39,thankyou,thank you good bye
40,inform,moderately priced priced restaurant chinese food
41,request,address and postcode
42,thankyou,thank you goodbye
43,inform,sea food
44,inform,any
45,request,address
46,thankyou,thank you good bye
47,inform,looking for a cheap restaurant that serves spanish food
48,request,whats the address
49,request,and whats the postcode
50,thankyou,thank you goodbye
51,null,noise
52,inform,um im looking for a moderately priced restaurant in the south part of town
53,request,whats the address
54,request,and whats the phone number
55,thankyou,thank you good bye
56,inform,id like a portuguese restaurant
57,request,what is the address
58,thankyou,thank you good bye
59,inform,west part of town cuban food
60,inform,italian
61,request,phone number
62,affirm,yes
63,request,what is the phone number
64,bye,good bye
65,inform,id like a moderately priced restaurant in the north part of town
66,request,whats the address
67,request,what type of food do they serve
68,thankyou,thank you good bye
69,inform,moderately priced north part of town
70,affirm,yes
71,request,what is the address and phone number
72,thankyou,thank you good bye
73,inform,expensive
74,inform,south
75,inform,dont care
76,request,what is the address
77,thankyou,thank you good bye
78,inform,jamaican food
79,inform,mediterranean
80,inform,cheap
81,inform,mediterranean
82,request,what is the phone number and post code
83,thankyou,thank you good bye
84,inform,european food
85,inform,european
86,inform,dont care
87,inform,expensive
88,request,what is the phone number
89,thankyou,thank you good bye
90,inform,gastropub
91,inform,gastropub
92,inform,gastropub food
93,request,what is the address
94,request,what is the address
95,null,sil
96,request,what is the phone number
97,thankyou,thank you good bye
98,inform,italian food
99,inform,moderate
100,inform,north
101,thankyou,thank you good bye
102,inform,portuguese food
103,request,whats the address
104,thankyou,thank you good bye
105,hello,hello welcome
106,inform,south
107,null,would you like something
108,inform,steak house
109,inform,indian
110,request,and whats the phone number
111,thankyou,thank you good bye
112,null,noise
113,null,unintelligible
114,inform,restaurant in the west part of town
115,inform,system irish food
116,null,system
117,inform,i want to find a restaurant in the center and it should serve corsica food
118,reqalts,how about north american
119,reqalts,how about north american type of food
120,reqalts,how about north american type of food
121,request,whats the phone number
122,thankyou,thank you good bye
123,inform,bistro food
124,inform,moderate
125,request,type of food
126,request,what type of food
127,request,what do they serve
128,request,what type of food do they serve
129,reqalts,what about bistro food
130,reqalts,how about british
131,request,and the price range
132,reqalts,how about a moderately priced
133,request,price range
134,request,whats the price range
135,inform,id like to find a moderately priced restaurant
136,request,the price range
137,request,may i get the phone number
138,thankyou,thank you good bye
139,inform,id like to find japanese food
140,inform,any
141,request,can i get the address
142,request,how about the phone number
143,inform,and the food type
144,inform,i need to find one in the south part of town
145,inform,danish
146,reqalts,how about portuguese
147,inform,portuguese
148,request,can i get the address
149,request,phone number
150,thankyou,thank you good bye
151,inform,moderately priced restaurant
152,inform,any part
153,inform,lebanese
154,request,address
