,dialog_act,utterance_content
23964,inform,the south part of town
1928,request,what is the address
5689,thankyou,thank you good bye
24132,thankyou,okay thank you good bye
5411,request,address and phone number
10770,confirm,is it cheap
3772,inform,catalan food
5535,request,what is the address and phone number
6145,confirm,okay is there a chinese restaurant in the north part of town
15681,request,whats the phone number
8355,thankyou,thank you good bye
3015,inform,italian
4512,thankyou,thank you good bye
10040,inform,im looking for a restaurant that serves afghan food
14847,request,what is the address and phone number
11201,inform,moderate
9231,inform,moderately priced restaurant that serves thai food
25371,inform,moderately priced restaurant
23076,inform,um indian food in the north part
14231,request,alright what is the address
1091,inform,um im looking for a cheap restaurant
15000,inform,english please
15448,request,whats the phone number
15184,affirm,okay and they serve portuguese food correct
17054,restart,reset
20309,bye,good bye
15881,inform,austria asian food
14887,inform,scandinavian food
8639,affirm,yes
9102,reqalts,how about korean food
7417,inform,i need cheap hungarian restaurant
21481,inform,im looking for a restaurant in the north part of town
17738,inform,any
9105,request,address
6542,thankyou,thank you good bye
1747,thankyou,thank you good bye
5617,thankyou,thank you good bye
22179,inform,british food
22515,affirm,yes
1429,request,phone number
3368,thankyou,thank you good bye
21562,inform,the west part of town
15764,inform,expensive
4814,inform,cantonese
19972,thankyou,thank you goodbye
12661,request,whats its address
22675,inform,find me an expensive restaurant in the south part of town
3338,reqalts,how about a gastropub
1448,inform,italian
182,request,phone number
5714,inform,that doesnt matter
2990,reqalts,how about chinese
75,inform,dont care
24800,thankyou,thank you good bye
5997,thankyou,thank you goodbye
19853,request,what is the phone number
1144,inform,moderate priced restaurant that serves indian food
8376,thankyou,thank you good bye
5670,inform,south part of town
9762,request,whats their address and phone number
20871,thankyou,thank you good bye
2854,inform,a cheap restaurant
18409,request,phone number
23102,request,area
22124,thankyou,thank you goodbye
11655,thankyou,thank you goodbye
14217,thankyou,thank you good bye
14742,inform,austrian
10720,inform,french food
17627,inform,french type of food
14093,thankyou,thank you good bye
4010,inform,cheap restaurant
17683,inform,expnsive
20353,inform,breath do you have danish restaurants
15954,inform,any
832,inform,belgian food
9907,request,could i get the phone number and
11258,affirm,yes
7806,request,what is the address and phone number
